filename,file_path,file_size_gb,duration,format,video_codec,width,height,framerate,bitrate,audio_codec,audio_channels,audio_sample_rate
Justice League - Doom (2012).mkv,/data/media/Movies/Justice League - Doom (2012)/Justice League - Doom (2012).mkv,0.60,4611.382000,"matroska,webm",h264,720,480,23.976023976023978,1121421,aac,2,48000
Kikis Delivery Service (1989).mp4,/data/media/Movies/Kikis Delivery Service (1989)/Kikis Delivery Service (1989).mp4,1.17,6182.720000,"mov,mp4,m4a,3gp,3g2,mj2",h264,1280,692,23.976023976023978,1631206,ac3,2,48000
Kingsman - The Golden Circle (2017).mkv,/data/media/Movies/Kingsman - The Golden Circle (2017)/Kingsman - The Golden Circle (2017).mkv,1.55,8460.534000,"matroska,webm",h264,720,360,23.976023976023978,1573378,aac,2,48000
Kingsman The Secret Service.mp4,/data/media/Movies/Kingsman - The Secret Service (2014)/Kingsman The Secret Service.mp4,0.85,7717.751709,"mov,mp4,m4a,3gp,3g2,mj2",h264,1280,536,23.976023976023978,951035,aac,2,48000
Legend (1985).mp4,/data/media/Movies/Legend (1985)/Legend (1985).mp4,1.70,6807.274667,"mov,mp4,m4a,3gp,3g2,mj2",h264,1920,816,23.976023976023978,2140675,aac,2,48000
My Neighbor Totoro (1988).mp4,/data/media/Movies/My Neighbor Totoro (1988)/My Neighbor Totoro (1988).mp4,1.02,5185.216000,"mov,mp4,m4a,3gp,3g2,mj2",h264,1280,692,23.976023976023978,1695266,ac3,2,48000
Power Rangers (2017).mkv,/data/media/Movies/Power Rangers (2017)/Power Rangers (2017).mkv,1.51,7438.518000,"matroska,webm",h264,720,360,23.976023976023978,1739483,aac,2,48000
Princess Mononoke (1997).mp4,/data/media/Movies/Princess Mononoke (1997)/Princess Mononoke (1997).mp4,1.14,8002.938000,"mov,mp4,m4a,3gp,3g2,mj2",h264,1280,692,23.976023976023978,1227646,ac3,2,48000
Resident Evil Damnation (2012).mp4,/data/media/Movies/Resident Evil Damnation (2012)/Resident Evil Damnation (2012).mp4,1.40,6002.079417,"mov,mp4,m4a,3gp,3g2,mj2",h264,1920,1080,23.976023976023978,2001575,aac,2,48000
Resident Evil Degeneration (2008).mp4,/data/media/Movies/Resident Evil Degeneration (2008)/Resident Evil Degeneration (2008).mp4,0.68,5765.885125,"mov,mp4,m4a,3gp,3g2,mj2",h264,1280,720,23.976023976023978,1014088,aac,2,48000
Rise - Blood Hunter (2007).mp4,/data/media/Movies/Rise - Blood Hunter (2007)/Rise - Blood Hunter (2007).mp4,2.84,7315.136000,"mov,mp4,m4a,3gp,3g2,mj2",h264,1280,720,23.976023976023978,3340350,aac,6,48000
Spirited Away (2001).mp4,/data/media/Movies/Spirited Away (2001)/Spirited Away (2001).mp4,1.03,7472.314000,"mov,mp4,m4a,3gp,3g2,mj2",h264,1280,692,23.976023976023978,1188576,ac3,2,48000
Suicide Squad (2016).mkv,/data/media/Movies/Suicide_Squad (2016)/Suicide Squad (2016).mkv,1.13,7371.403000,"matroska,webm",h264,718,360,23.976023976023978,1319224,aac,2,48000
Ninja Scroll.avi,/data/media/Movies/Ninja Scroll (1993)/Ninja Scroll.avi,0.88,5478.240000,avi,mpeg4,800,608,25.0,1375989,mp3,2,48000
Superman Batman - Apocalypse (2010).mkv,/data/media/Movies/Superman Batman - Apocalypse (2010)/Superman Batman - Apocalypse (2010).mkv,0.80,4687.082000,"matroska,webm",h264,720,480,23.976023976023978,1462033,aac,2,48000
Tales from Earthsea.mp4,/data/media/Movies/Tales from Earthsea (2006)/Tales from Earthsea.mp4,1.04,6932.675750,"mov,mp4,m4a,3gp,3g2,mj2",h264,1280,692,23.976023976023978,1290145,ac3,2,48000
The Dark Crystal.mp4,/data/media/Movies/The Dark Crystal (1982)/The Dark Crystal.mp4,1.65,5587.712000,"mov,mp4,m4a,3gp,3g2,mj2",h264,1920,816,23.976023976023978,2539786,aac,2,48000
"Dark Tower, The (2017).mkv","/data/media/Movies/The Dark Tower (2017)/Dark Tower, The (2017).mkv",0.92,5684.054000,"matroska,webm",h264,720,360,23.976023976023978,1394374,aac,2,48000
The Happening (2008).mkv,/data/media/Movies/The Happening (2008)/The Happening (2008).mkv,1.34,5422.091000,"matroska,webm",h264,718,472,23.976023976023978,2123242,aac,2,48000
The Lion King (1994).mkv,/data/media/Movies/The Lion King (1994)/The Lion King (1994).mkv,0.98,5302.137000,"matroska,webm",h264,720,480,23.976023976023978,1584075,aac,2,48000
The Lord of the Rings (1978).mkv,/data/media/Movies/The Lord of the Rings (1978)/The Lord of the Rings (1978).mkv,2.72,7996.685000,"matroska,webm",h264,718,480,23.976023976023978,2924540,aac,2,48000
The Void (2016).mkv,/data/media/Movies/The Void (2016)/The Void (2016).mkv,0.67,5421.849000,"matroska,webm",h264,720,362,23.976023976023978,1067941,aac,2,48000
V For Vendetta (2006).mp4,/data/media/Movies/V for Vendetta (2005)/V For Vendetta (2006).mp4,1.65,7952.462948,"mov,mp4,m4a,3gp,3g2,mj2",h264,1920,800,23.976023976023978,1786327,aac,2,44100
Valerian and the City of a Thousand Planets (2017).mkv,/data/media/Movies/Valerian and the City of a Thousand Planets (2017)/Valerian and the City of a Thousand Planets (2017).mkv,1.54,8464.530000,"matroska,webm",h264,720,360,23.976023976023978,1567194,aac,2,48000
Warcraft.mkv,/data/media/Movies/Warcraft (2016)/Warcraft.mkv,3.22,7386.963000,"matroska,webm",h264,1916,784,23.976023976023978,3740724,ac3,2,48000
Warlock.mp4,/data/media/Movies/Warlock (1989)/Warlock.mp4,1.13,6190.976458,"mov,mp4,m4a,3gp,3g2,mj2",h264,720,388,23.976023976023978,1563819,aac,2,48000
What Dreams May Come (1998).mkv,/data/media/Movies/What Dreams May Come (1998)/What Dreams May Come (1998).mkv,1.16,6805.756000,"matroska,webm",h264,716,364,23.976023976023978,1466682,aac,2,48000
Ghost in the Shell SAC 2045.mkv,/data/media/Movies/Ghost in the Shell SAC 2045 - Sustainable War (2021)/Ghost in the Shell SAC 2045.mkv,3.51,7225.664000,"matroska,webm",h264,1920,1080,23.976023976023978,4177063,eac3,6,48000
Beetlejuice Beetlejuice t01.mkv,/data/media/Movies/Beetlejuice Beetlejuice (2024)/Beetlejuice Beetlejuice t01.mkv,67.34,6279.940000,"matroska,webm",hevc,3840,2160,23.976023976023978,92104576,truehd,8,48000
Heretic (2024).mkv,/data/media/Movies/Heretic (2024)/Heretic (2024).mkv,19.67,6668.203000,"matroska,webm",hevc,3836,1604,23.976023976023978,25340991,eac3,6,48000
The Others (2001).mkv,/data/media/Movies/The Others (2001)/The Others (2001).mkv,4.53,6263.209000,"matroska,webm",h264,1920,1080,24.0,6208811,ac3,6,48000
John Wick - Chapter 2 t00.mkv,/data/media/Movies/John Wick - Chapter 2 (2017)/John Wick - Chapter 2 t00.mkv,14.71,7342.376000,"matroska,webm",h264,1920,1080,23.976023976023978,17208154,ac3,6,48000
John Wick - Chapter 3.mkv,/data/media/Movies/John Wick - Chapter 3 - Parabellum (2019)/John Wick - Chapter 3.mkv,61.15,7930.464000,"matroska,webm",hevc,3840,2160,23.976023976023978,66233848,ac3,2,48000
John Wick - Chapter 4.mkv,/data/media/Movies/John Wick - Chapter 4 (2023)/John Wick - Chapter 4.mkv,75.69,10158.148000,"matroska,webm",hevc,3840,2160,23.976023976023978,64003628,truehd,8,48000
John Wick.mkv,/data/media/Movies/John Wick (2014)/John Wick.mkv,46.37,6071.774000,"matroska,webm",hevc,3840,2160,23.976023976023978,65596222,truehd,8,48000
The Batman vs  Dracula (2005).mp4,/data/media/Movies/The Batman vs. Dracula (2005)/The Batman vs  Dracula (2005).mp4,1.30,5014.259250,"mov,mp4,m4a,3gp,3g2,mj2",hevc,1920,1080,23.976023976023978,2229346,aac,2,48000
Blood - The Last Vampire (2009).mkv,/data/media/Movies/Blood - The Last Vampire (2009)/Blood - The Last Vampire (2009).mkv,18.89,5316.946000,"matroska,webm",h264,1920,1080,23.976023976023978,30525326,pcm_s16le,6,48000
Batman Returns (1992).mkv,/data/media/Movies/Batman Returns (1992)/Batman Returns (1992).mkv,18.08,7587.041000,"matroska,webm",hevc,3840,2072,23.976023976023978,20475207,truehd,8,48000
Dracula Dead And Loving It (1995).mkv,/data/media/Movies/Dracula - Dead and Loving It (1995)/Dracula Dead And Loving It (1995).mkv,22.83,5391.210000,"matroska,webm",h264,1920,1080,24.0,36375278,flac,2,48000
High Anxiety (1977).mp4,/data/media/Movies/High Anxiety (1977)/High Anxiety (1977).mp4,1.47,5645.642000,"mov,mp4,m4a,3gp,3g2,mj2",hevc,1920,1036,23.976023976023978,2231145,aac,6,48000
Blazing Saddles.mkv,/data/media/Movies/Blazing Saddles (1974)/Blazing Saddles.mkv,45.04,5569.376000,"matroska,webm",hevc,3840,2160,23.976023976023978,69465103,truehd,8,48000
The Lord of the Rings - The War of the Rohirrim (2024).mkv,/data/media/Movies/The Lord of The Rings - The War Of The Rohirrim (2024)/The Lord of the Rings - The War of the Rohirrim (2024).mkv,4.43,8054.432000,"matroska,webm",h264,1920,800,23.976023976023978,4729779,eac3,6,48000
Ink (2009).mkv,/data/media/Movies/Ink (2009)/Ink (2009).mkv,6.56,6374.400000,"matroska,webm",h264,1920,1080,23.976023976023978,8841355,ac3,2,48000
Gladiator II (2024).mkv,/data/media/Movies/Gladiator II (2024)/Gladiator II (2024).mkv,9.36,9102.208000,"matroska,webm",h264,1920,800,23.976023976023978,8833144,eac3,6,48000
Venom - The Last Dance (2024).mkv,/data/media/Movies/Venom - The Last Dance (2024)/Venom - The Last Dance (2024).mkv,5.74,6535.712000,"matroska,webm",h264,1920,800,23.976023976023978,7543652,eac3,6,48000
Kraven - The Hunter (2024).mp4,/data/media/Movies/Kraven the Hunter (2024)/Kraven - The Hunter (2024).mp4,5.31,7630.416667,"mov,mp4,m4a,3gp,3g2,mj2",h264,1920,1080,24.0,5974275,ac3,6,48000
Venom (2018).mkv,/data/media/Movies/Venom (2018)/Venom (2018).mkv,19.69,6726.679000,"matroska,webm",hevc,3840,2160,23.976023976023978,25148026,eac3,6,48000
